,"  매매 거래 동향
Sensitivity on the Housing Transaction by Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전국 Total,,,서울특별시 Seoul,,,강북14개구 Northern seoul,,,강남11개구 Southern Seoul,,,6개광역시 6 Large Cities,,,5개광역시 5 Large Cities,,,부산광역시  Busan,,,대구광역시  Daegu,,,인천광역시  Incheon,,,광주광역시  Gwangju,,,대전광역시  Daejeon,,,울산광역시  Ulsan,,,세종특별자치시  Sejong,,,수도권 Seoul Metropolitan Area,,,경기도  Gyeonggi-do,,,강원특별자치도 Gangwon-do,,,충청북도  ChungCheongbuk-do,,,충청남도  ChungCheongnam-do,,,전북특별자치도  Jeollabuk-do,,,전라남도  Jeollanam-do,,,경상북도  Gyeongsangbuk-do,,,경상남도  Gyeongsangnam-do,,,기타지방 Non Metropolitan Area,,,제주특별자치도 Jeju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,활발함,한산함,매매거래지수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,Active,Inactive,Housing Transaction Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,1.2 ,79.0 ,22.2 ,0.0 ,86.2 ,13.8 ,,,,,,,0.6 ,78.1 ,22.5 ,,,,,,,,,,,,,,,,,,,,,,,,,0.9 ,82.6 ,18.3 ,2.3 ,75.8 ,26.5 ,,,,,,,,,,,,,,,,,,,,,,3.7 ,70.4 ,33.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-08,0.0 ,86.6 ,13.4 ,0.0 ,86.7 ,13.3 ,,,,,,,0.0 ,87.1 ,12.9 ,,,,,,,,,,,,,,,,,,,,,,,,,0.0 ,89.0 ,11.0 ,0.0 ,90.7 ,9.3 ,,,,,,,,,,,,,,,,,,,,,,0.0 ,79.0 ,21.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-15,0.7 ,87.3 ,13.4 ,1.1 ,87.5 ,13.6 ,,,,,,,0.0 ,85.9 ,14.1 ,,,,,,,,,,,,,,,,,,,,,,,,,0.9 ,89.1 ,11.8 ,0.8 ,90.5 ,10.3 ,,,,,,,,,,,,,,,,,,,,,,1.2 ,85.2 ,16.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-22,0.3 ,86.3 ,14.0 ,0.0 ,85.0 ,15.0 ,,,,,,,0.5 ,84.8 ,15.7 ,,,,,,,,,,,,,,,,,,,,,,,,,0.3 ,88.1 ,12.2 ,0.8 ,91.5 ,9.3 ,,,,,,,,,,,,,,,,,,,,,,0.0 ,84.1 ,15.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-29,0.5 ,83.2 ,17.3 ,0.0 ,82.3 ,17.7 ,,,,,,,1.1 ,82.1 ,19.0 ,,,,,,,,,,,,,,,,,,,,,,,,,0.0 ,85.5 ,14.5 ,0.0 ,89.2 ,10.8 ,,,,,,,,,,,,,,,,,,,,,,1.2 ,78.1 ,23.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-05,0.9 ,86.0 ,14.9 ,1.1 ,77.5 ,23.6 ,,,,,,,1.1 ,86.4 ,14.7 ,,,,,,,,,,,,,,,,,,,,,,,,,0.6 ,84.0 ,16.6 ,0.0 ,91.5 ,8.5 ,,,,,,,,,,,,,,,,,,,,,,1.2 ,86.8 ,14.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
