,"  매수자/매도자 동향
Trends on the Sell / Buy Activities by Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전국 Total,,,서울특별시 Seoul,,,강북14개구 Northern seoul,,,강남11개구 Southern Seoul,,,6개광역시 6 Large Cities,,,5개광역시 5 Large Cities,,,부산광역시  Busan,,,대구광역시  Daegu,,,인천광역시  Incheon,,,광주광역시  Gwangju,,,대전광역시  Daejeon,,,울산광역시  Ulsan,,,세종특별자치시  Sejong,,,수도권 Seoul Metropolitan Area,,,경기도  Gyeonggi-do,,,강원특별자치도 Gangwon-do,,,충청북도  ChungCheongbuk-do,,,충청남도  ChungCheongnam-do,,,전북특별자치도  Jeollabuk-do,,,전라남도  Jeollanam-do,,,경상북도  Gyeongsangbuk-do,,,경상남도  Gyeongsangnam-do,,,기타지방 Non Metropolitan Area,,,제주특별자치도 Jeju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,매도자많음,매수자많음,매수우위지수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,Seller's No.> Buyer's No.,Seller's No.< Buyer's No.,Buyer Superiority Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,44.0 ,11.9 ,67.9 ,42.0 ,11.5 ,69.5 ,,,,,,,46.9 ,9.6 ,62.7 ,,,,,,,,,,,,,,,,,,,,,,,,,43.3 ,11.9 ,68.6 ,42.6 ,14.0 ,71.4 ,,,,,,,,,,,,,,,,,,,,,,44.4 ,14.8 ,70.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-08,47.5 ,8.0 ,60.5 ,40.6 ,8.9 ,68.3 ,,,,,,,53.2 ,8.1 ,54.9 ,,,,,,,,,,,,,,,,,,,,,,,,,43.0 ,8.1 ,65.1 ,48.1 ,6.2 ,58.1 ,,,,,,,,,,,,,,,,,,,,,,49.4 ,8.6 ,59.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-15,48.1 ,7.9 ,59.8 ,41.2 ,11.3 ,70.1 ,,,,,,,52.4 ,4.9 ,52.5 ,,,,,,,,,,,,,,,,,,,,,,,,,46.4 ,8.5 ,62.1 ,52.4 ,5.5 ,53.1 ,,,,,,,,,,,,,,,,,,,,,,46.9 ,11.1 ,64.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-22,46.4 ,7.7 ,61.3 ,45.6 ,9.4 ,63.8 ,,,,,,,48.4 ,5.4 ,57.0 ,,,,,,,,,,,,,,,,,,,,,,,,,46.0 ,8.3 ,62.3 ,46.5 ,7.0 ,60.5 ,,,,,,,,,,,,,,,,,,,,,,43.9 ,9.8 ,65.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-29,45.3 ,8.7 ,63.4 ,40.9 ,9.9 ,69.0 ,,,,,,,50.0 ,8.1 ,58.1 ,,,,,,,,,,,,,,,,,,,,,,,,,43.2 ,7.7 ,64.5 ,45.7 ,6.2 ,60.5 ,,,,,,,,,,,,,,,,,,,,,,43.9 ,11.0 ,67.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-05,43.6 ,9.3 ,65.7 ,35.2 ,13.7 ,78.5 ,,,,,,,45.1 ,9.8 ,64.7 ,,,,,,,,,,,,,,,,,,,,,,,,,42.0 ,9.2 ,67.2 ,48.8 ,4.7 ,55.9 ,,,,,,,,,,,,,,,,,,,,,,43.4 ,9.6 ,66.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-12,43.4 ,10.8 ,67.4 ,34.3 ,20.2 ,85.9 ,,,,,,,46.1 ,9.4 ,63.3 ,,,,,,,,,,,,,,,,,,,,,,,,,38.6 ,13.9 ,75.3 ,45.2 ,6.4 ,61.2 ,,,,,,,,,,,,,,,,,,,,,,45.1 ,9.8 ,64.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-19,40.3 ,14.0 ,73.7 ,33.2 ,25.5 ,92.3 ,,,,,,,44.3 ,11.9 ,67.6 ,,,,,,,,,,,,,,,,,,,,,,,,,36.0 ,18.4 ,82.4 ,40.0 ,11.5 ,71.5 ,,,,,,,,,,,,,,,,,,,,,,41.0 ,10.8 ,69.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
